Fighter,Opponent,Result,Method,Date
Alexis “Barboza” Nicolas,Regian Eersel,LOSS,Majority Decision,
Alexis “Barboza” Nicolas,Regian Eersel,LOSS,Unanimous Decision,
Alexis “Barboza” Nicolas,Regian Eersel,WIN,Unanimous Decision,
Alexis “Barboza” Nicolas,Magomed Magomedov,WIN,Unanimous Decision,
Allycia Hellen Rodrigues,Marie McManamon,WIN,TKO,
Allycia Hellen Rodrigues,Cristina Morales,WIN,Unanimous Decision,
Allycia Hellen Rodrigues,Smilla Sundell,LOSS,TKO,
Allycia Hellen Rodrigues,Janet Todd,WIN,Unanimous Decision,
Allycia Hellen Rodrigues,Stamp Fairtex,WIN,Majority Decision,
Anatoly “Sladkiy” Malykhin,Oumar Kane,LOSS,Split Decision,
Anatoly “Sladkiy” Malykhin,Reinier de Ridder,WIN,TKO,
Anatoly “Sladkiy” Malykhin,Arjan Bhullar,WIN,TKO,
Anatoly “Sladkiy” Malykhin,Reinier de Ridder,WIN,Knockout,
Anatoly “Sladkiy” Malykhin,Kirill Grishenko,WIN,Knockout,
Anatoly “Sladkiy” Malykhin,Amir Aliakbari,WIN,Knockout,
Anatoly “Sladkiy” Malykhin,Alexandre Machado,WIN,TKO,
“Unstoppable” Angela Lee,Xiong Jing Nan,LOSS,Unanimous Decision,
“Unstoppable” Angela Lee,Stamp Fairtex,WIN,Submission,
“Unstoppable” Angela Lee,Xiong Jing Nan,WIN,Submission,
“Unstoppable” Angela Lee,Michelle Nicolini,LOSS,Unanimous Decision,
“Unstoppable” Angela Lee,Xiong Jing Nan,LOSS,Knockout,
“Unstoppable” Angela Lee,Mei Yamaguchi,WIN,Unanimous Decision,
“Unstoppable” Angela Lee,Istela Nunes,WIN,Submission,
“Unstoppable” Angela Lee,Jenny Huang,WIN,TKO,
“Unstoppable” Angela Lee,Mei Yamaguchi,WIN,Unanimous Decision,
“Unstoppable” Angela Lee,Rebecca Heintzman-Rozewski,WIN,Submission,
“Unstoppable” Angela Lee,Lena Tkhorevska,WIN,Submission,
“Unstoppable” Angela Lee,Natalie Gonzales Hills,WIN,Submission,
“Unstoppable” Angela Lee,Mona Samir,WIN,Submission,
“Unstoppable” Angela Lee,Aya Saber,WIN,Submission,
Chingiz “Chinga” Allazov,Marat Grigorian,WIN,Unanimous Decision,
Chingiz “Chinga” Allazov,Superbon,WIN,Knockout,
Chingiz “Chinga” Allazov,Sitthichai Sitsongpeenong,WIN,Unanimous Decision,
Chingiz “Chinga” Allazov,Jo Nattawut,WIN,Knockout,
Chingiz “Chinga” Allazov,Samy Sana,WIN,Knockout,
Chingiz “Chinga” Allazov,Enriko Kehl,LOSS,Split Decision,
Christian “The Warrior” Lee,Alibeg Rasulov,Unknown,Unknown,
Christian “The Warrior” Lee,Kiamrian Abbasov,WIN,TKO,
Christian “The Warrior” Lee,Ok Rae Yoon,WIN,TKO,
Christian “The Warrior” Lee,Ok Rae Yoon,LOSS,Unanimous Decision,
Christian “The Warrior” Lee,Timofey Nastyukhin,WIN,TKO,
Christian “The Warrior” Lee,Iuri Lapicus,WIN,TKO,
Christian “The Warrior” Lee,Dagi Arslanaliev,WIN,Unanimous Decision,
Christian “The Warrior” Lee,Shinya Aoki,WIN,TKO,
Christian “The Warrior” Lee,Edward Kelly,WIN,TKO,
Christian “The Warrior” Lee,Kazuki Tokudome,WIN,TKO,
Christian “The Warrior” Lee,Edward Kelly,LOSS,Disqualification,
Christian “The Warrior” Lee,Martin Nguyen,LOSS,Split Decision,
Christian “The Warrior” Lee,Kazunori Yokota,WIN,Submission,
Christian “The Warrior” Lee,Kotetsu Boku,WIN,TKO,
Christian “The Warrior” Lee,Keanu Subba,WIN,Submission,
Christian “The Warrior” Lee,Wan Jian Ping,WIN,TKO,
Christian “The Warrior” Lee,Martin Nguyen,LOSS,Submission,
Christian “The Warrior” Lee,Rocky Batolbatol,WIN,TKO,
Christian “The Warrior” Lee,Cary Bullos,WIN,Submission,
Christian “The Warrior” Lee,Anthony Engelen,WIN,TKO,
Christian “The Warrior” Lee,Mahmoud Mohamed,WIN,Submission,
Christian “The Warrior” Lee,David Meak,WIN,TKO,
Danielle Kelly,Mayssa Bastos,LOSS,Unanimous Decision,
Danielle Kelly,Mayssa Bastos,LOSS,Unanimous Decision,
Danielle Kelly,Jessa Khan,WIN,Unanimous Decision,
Danielle Kelly,Ayaka Miura,WIN,Unanimous Decision,
Danielle Kelly,Mariia Molchanova,WIN,Submission,
Danielle Kelly,Mei Yamaguchi,Unknown,Unknown,
Demetrious “Mighty Mouse” Johnson,Adriano Moraes,WIN,Unanimous Decision,
Demetrious “Mighty Mouse” Johnson,Adriano Moraes,WIN,Knockout,
Demetrious “Mighty Mouse” Johnson,Rodtang Jitmuangnon,WIN,Submission,
Demetrious “Mighty Mouse” Johnson,Adriano Moraes,LOSS,Knockout,
Demetrious “Mighty Mouse” Johnson,Danny Kingad,WIN,Unanimous Decision,
Demetrious “Mighty Mouse” Johnson,Tatsumitsu Wada,WIN,Unanimous Decision,
Demetrious “Mighty Mouse” Johnson,Yuya Wakamatsu,WIN,Submission,
Denice “The Menace” Zamboanga,Alyona Rassohyna,WIN,TKO,
Denice “The Menace” Zamboanga,Noelle Grandjean,WIN,Unanimous Decision,
Denice “The Menace” Zamboanga,Julie Mezabarba,WIN,Unanimous Decision,
Denice “The Menace” Zamboanga,Lin Heqin,WIN,Split Decision,
Denice “The Menace” Zamboanga,Ham Seo Hee,LOSS,Unanimous Decision,
Denice “The Menace” Zamboanga,Ham Seo Hee,LOSS,Split Decision,
Denice “The Menace” Zamboanga,Watsapinya Kaewkhong,WIN,Submission,
Denice “The Menace” Zamboanga,Mei Yamaguchi,WIN,Unanimous Decision,
Denice “The Menace” Zamboanga,Jihin Radzuan,WIN,Unanimous Decision,
Fabricio “Wonder Boy” Andrade,Kwon Won Il,WIN,TKO,
Fabricio “Wonder Boy” Andrade,Jonathan Haggerty,LOSS,Knockout,
Fabricio “Wonder Boy” Andrade,John Lineker,WIN,TKO,
Fabricio “Wonder Boy” Andrade,John Lineker,Unknown,Unknown,
Fabricio “Wonder Boy” Andrade,Kwon Won Il,WIN,Knockout,
Fabricio “Wonder Boy” Andrade,Jeremy Pacatiw,WIN,Knockout,
Fabricio “Wonder Boy” Andrade,Li Kai Wen,WIN,TKO,
Fabricio “Wonder Boy” Andrade,Shoko Sato,WIN,Unanimous Decision,
Fabricio “Wonder Boy” Andrade,Mark Abelardo,WIN,Submission,
Jackie Buntan,Anissa Meksen,WIN,Unanimous Decision,
Jackie Buntan,Martine Michieletto,WIN,Unanimous Decision,
Jackie Buntan,Diandra Martin,WIN,TKO,
Jackie Buntan,Amber Kitchen,WIN,Unanimous Decision,
Jackie Buntan,Smilla Sundell,LOSS,Unanimous Decision,
Jackie Buntan,Daniela Lopez,WIN,Unanimous Decision,
Jackie Buntan,Ekaterina Vandaryeva,WIN,Majority Decision,
Jackie Buntan,Nat Jaroonsak,WIN,Unanimous Decision,
Jarred “The Monkey God” Brooks,Joshua Pacio,LOSS,TKO,
Jarred “The Monkey God” Brooks,Reece McLaren,LOSS,Split Decision,
Jarred “The Monkey God” Brooks,Gustavo Balart,WIN,Submission,
Jarred “The Monkey God” Brooks,Joshua Pacio,LOSS,Disqualification,
Jarred “The Monkey God” Brooks,Mikey Musumeci,LOSS,Submission,
Jarred “The Monkey God” Brooks,Joshua Pacio,WIN,Unanimous Decision,
Jarred “The Monkey God” Brooks,Bokang Masunyane,WIN,Submission,
Jarred “The Monkey God” Brooks,Hiroba Minowa,WIN,Unanimous Decision,
Jarred “The Monkey God” Brooks,Lito Adiwang,WIN,Submission,
Jonathan Di Bella,Sam-A Gaiyanghadao,WIN,Unanimous Decision,
Jonathan Di Bella,Rui Botelho,WIN,Unanimous Decision,
Jonathan Di Bella,Prajanchai PK Saenchai,LOSS,Unanimous Decision,
Jonathan Di Bella,Danial Williams,WIN,Unanimous Decision,
Jonathan Di Bella,Zhang Peimian,WIN,Unanimous Decision,
Jonathan “The General” Haggerty,Wei Rui,WIN,Unanimous Decision,
Jonathan “The General” Haggerty,Superlek Kiatmoo9,LOSS,Knockout,
Jonathan “The General” Haggerty,Felipe Lobo,WIN,TKO,
Jonathan “The General” Haggerty,Fabricio Andrade,WIN,Knockout,
Jonathan “The General” Haggerty,Nong-O Hama,WIN,Knockout,
Jonathan “The General” Haggerty,Vladimir Kuzmin,WIN,Majority Decision,
Jonathan “The General” Haggerty,Mongkolpetch Petchyindee,WIN,Unanimous Decision,
Jonathan “The General” Haggerty,Taiki Naito,WIN,Unanimous Decision,
Jonathan “The General” Haggerty,Rodtang Jitmuangnon,LOSS,TKO,
Jonathan “The General” Haggerty,Rodtang Jitmuangnon,LOSS,Unanimous Decision,
Jonathan “The General” Haggerty,Sam-A Gaiyanghadao,WIN,Unanimous Decision,
Jonathan “The General” Haggerty,Joseph Lasiri,WIN,Unanimous Decision,
Joseph “The Hurricane” Lasiri,Prajanchai PK Saenchai,LOSS,Knockout,
Joseph “The Hurricane” Lasiri,Rodtang Jitmuangnon,LOSS,Unanimous Decision,
Joseph “The Hurricane” Lasiri,Prajanchai PK Saenchai,WIN,TKO,
Joseph “The Hurricane” Lasiri,Asahi Shinagawa,WIN,Knockout,
Joseph “The Hurricane” Lasiri,Rocky Ogden,WIN,Split Decision,
Joseph “The Hurricane” Lasiri,Mongkolpetch Petchyindee,LOSS,Majority Decision,
Joseph “The Hurricane” Lasiri,Hiroki Akimoto,WIN,Majority Decision,
Joseph “The Hurricane” Lasiri,Jonathan Haggerty,LOSS,Unanimous Decision,
Joseph “The Hurricane” Lasiri,Josh Tonna,LOSS,Unanimous Decision,
Joseph “The Hurricane” Lasiri,Singtongnoi Por Telakun,LOSS,TKO,
Joseph “The Hurricane” Lasiri,Sam-A Gaiyanghadao,LOSS,TKO,
Joshua “The Passion” Pacio,Jarred Brooks,WIN,TKO,
Joshua “The Passion” Pacio,Jarred Brooks,WIN,Disqualification,
Joshua “The Passion” Pacio,Mansur Malachiev,WIN,Unanimous Decision,
Joshua “The Passion” Pacio,Jarred Brooks,LOSS,Unanimous Decision,
Joshua “The Passion” Pacio,Yosuke Saruta,WIN,TKO,
Joshua “The Passion” Pacio,Alex Silva,WIN,Split Decision,
Joshua “The Passion” Pacio,Rene Catalan,WIN,Submission,
Joshua “The Passion” Pacio,Yosuke Saruta,WIN,Knockout,
Joshua “The Passion” Pacio,Yosuke Saruta,LOSS,Split Decision,
Joshua “The Passion” Pacio,Yoshitaka Naito,WIN,Unanimous Decision,
Joshua “The Passion” Pacio,Pongsiri Mitsatit,WIN,Submission,
Joshua “The Passion” Pacio,Lan Ming Qiang,WIN,Submission,
Joshua “The Passion” Pacio,Roy Doliguez,WIN,Knockout,
Joshua “The Passion” Pacio,Hayato Suzuki,LOSS,Submission,
Joshua “The Passion” Pacio,Dejdamrong Sor Amnuaysirichoke,WIN,Split Decision,
Joshua “The Passion” Pacio,Yoshitaka Naito,LOSS,Submission,
Joshua “The Passion” Pacio,Kritsada Kongsrichai,WIN,Submission,
Joshua “The Passion” Pacio,Rabin Catalan,WIN,TKO,
Kade Ruotolo,Nicolas Vigna,WIN,Submission,
Kade Ruotolo,Ahmed Mujtaba,WIN,Submission,
Kade Ruotolo,Blake Cooper,WIN,Submission,
Kade Ruotolo,Francisco Lo,WIN,Submission,
Kade Ruotolo,Tommy Langaker,WIN,Unanimous Decision,
Kade Ruotolo,Tommy Langaker,WIN,Unanimous Decision,
Kade Ruotolo,Matheus Gabriel,WIN,Unanimous Decision,
Kade Ruotolo,Uali Kurzhev,WIN,Submission,
Kade Ruotolo,Shinya Aoki,WIN,Unanimous Decision,
Masaaki Noiri,Tawanchai PK Saenchai,WIN,TKO,
Masaaki Noiri,Shakir Al-Tekreeti,WIN,Knockout,
Masaaki Noiri,Liu Mengyang,LOSS,Unanimous Decision,
Masaaki Noiri,Sitthichai Sitsongpeenong,LOSS,Unanimous Decision,
Mayssa Bastos,Danielle Kelly,WIN,Unanimous Decision,
Mayssa Bastos,Danielle Kelly,WIN,Unanimous Decision,
Mayssa Bastos,Kanae Yamada,WIN,Unanimous Decision,
Nabil Anane,Superlek Kiatmoo9,WIN,Unanimous Decision,
Nabil Anane,Nico Carrillo,WIN,TKO,
Nabil Anane,Soe Lin Oo,WIN,Unanimous Decision,
Nabil Anane,Felipe Lobo,WIN,Unanimous Decision,
Nabil Anane,Kulabdam Sor Jor Piek Uthai,WIN,Knockout,
Nabil Anane,Muangthai PK Saenchai,WIN,Unanimous Decision,
Nabil Anane,Nakrob Fairtex,WIN,Knockout,
Nabil Anane,Superlek Kiatmoo9,LOSS,Knockout,
Nong-O Hama,Kongthoranee Sor Sommai,WIN,Unanimous Decision,
Nong-O Hama,Kongthoranee Sor Sommai,LOSS,Split Decision,
Nong-O Hama,Kiamran Nabati,LOSS,Unanimous Decision,
Nong-O Hama,Kulabdam Sor Jor Piek Uthai,WIN,Unanimous Decision,
Nong-O Hama,Nico Carrillo,LOSS,Knockout,
Nong-O Hama,Jonathan Haggerty,LOSS,Knockout,
Nong-O Hama,Alaverdi Ramazanov,WIN,Knockout,
Nong-O Hama,Liam Harrison,WIN,TKO,
Nong-O Hama,Felipe Lobo,WIN,Knockout,
Nong-O Hama,Rodlek PK Saenchai,WIN,Knockout,
Nong-O Hama,Saemapetch Fairtex,WIN,Knockout,
Nong-O Hama,Brice Delval,WIN,Split Decision,
Nong-O Hama,Hiroaki Suzuki,WIN,Unanimous Decision,
Nong-O Hama,Han Zi Hao,WIN,Unanimous Decision,
Nong-O Hama,Mehdi Zatout,WIN,Unanimous Decision,
Nong-O Hama,Fabio Pinca,WIN,Unanimous Decision,
“Reug Reug” Oumar Kane,Anatoly Malykhin,WIN,Split Decision,
“Reug Reug” Oumar Kane,Boucher Ketchup,WIN,Knockout,
“Reug Reug” Oumar Kane,Marcus Almeida,WIN,Unanimous Decision,
“Reug Reug” Oumar Kane,Jasur Mirzamukhamedov,WIN,Unanimous Decision,
“Reug Reug” Oumar Kane,Batradz Gazzaev,WIN,TKO,
“Reug Reug” Oumar Kane,Kirill Grishenko,LOSS,TKO,
“Reug Reug” Oumar Kane,Patrick Schmid,WIN,TKO,
“Reug Reug” Oumar Kane,Alain Ngalani,WIN,TKO,
Petchtanong Petchfergus,Alaverdi Ramazanov,WIN,TKO,
Petchtanong Petchfergus,Hiroki Akimoto,WIN,Split Decision,
Petchtanong Petchfergus,Zhang Chenglong,WIN,Unanimous Decision,
Petchtanong Petchfergus,Capitan Petchyindee,LOSS,Knockout,
“The Queen” Phetjeeja Lukjaoporongtom,Kana Morimoto,WIN,Unanimous Decision,
“The Queen” Phetjeeja Lukjaoporongtom,Janet Todd,WIN,Unanimous Decision,
“The Queen” Phetjeeja Lukjaoporongtom,Anissa Meksen,WIN,Unanimous Decision,
“The Queen” Phetjeeja Lukjaoporongtom,Celest Hansen,WIN,TKO,
“The Queen” Phetjeeja Lukjaoporongtom,Lara Fernandez,WIN,TKO,
“The Queen” Phetjeeja Lukjaoporongtom,Ines Pilutti,WIN,TKO,
“The Queen” Phetjeeja Lukjaoporongtom,Fani Peloumpi,WIN,TKO,
Prajanchai PK Saenchai,Ellis Badr Barboza,WIN,TKO,
Prajanchai PK Saenchai,Jonathan Di Bella,WIN,Unanimous Decision,
Prajanchai PK Saenchai,Joseph Lasiri,WIN,Knockout,
Prajanchai PK Saenchai,Akram Hamidi,WIN,Unanimous Decision,
Prajanchai PK Saenchai,Sam-A Gaiyanghadao,WIN,Knockout,
Prajanchai PK Saenchai,Kompet Fairtex,WIN,Unanimous Decision,
Prajanchai PK Saenchai,Joseph Lasiri,LOSS,TKO,
Prajanchai PK Saenchai,Sam-A Gaiyanghadao,WIN,Majority Decision,
Regian “The Immortal” Eersel,Alexis Nicolas,WIN,Majority Decision,
Regian “The Immortal” Eersel,Alexis Nicolas,WIN,Unanimous Decision,
Regian “The Immortal” Eersel,Alexis Nicolas,LOSS,Unanimous Decision,
Regian “The Immortal” Eersel,Dmitry Menshikov,WIN,Knockout,
Regian “The Immortal” Eersel,Sinsamut Klinmee,WIN,Knockout,
Regian “The Immortal” Eersel,Sinsamut Klinmee,WIN,Split Decision,
Regian “The Immortal” Eersel,Arian Sadikovic,WIN,Unanimous Decision,
Regian “The Immortal” Eersel,Islam Murtazaev,WIN,Split Decision,
Regian “The Immortal” Eersel,Mustapha Haida,WIN,Unanimous Decision,
Regian “The Immortal” Eersel,Nieky Holzken,WIN,Unanimous Decision,
Regian “The Immortal” Eersel,Nieky Holzken,WIN,Unanimous Decision,
Regian “The Immortal” Eersel,Anthony Njokuani,WIN,Knockout,
Regian “The Immortal” Eersel,Brad Riddell,WIN,Unanimous Decision,
Rodtang “The Iron Man” Jitmuangnon,Takeru Segawa,WIN,Knockout,
Rodtang “The Iron Man” Jitmuangnon,Jacob Smith,WIN,Unanimous Decision,
Rodtang “The Iron Man” Jitmuangnon,Denis Puric,WIN,Unanimous Decision,
Rodtang “The Iron Man” Jitmuangnon,Superlek Kiatmoo9,LOSS,Unanimous Decision,
Rodtang “The Iron Man” Jitmuangnon,Edgar Tabares,WIN,Knockout,
Rodtang “The Iron Man” Jitmuangnon,Jiduo Yibu,WIN,Unanimous Decision,
Rodtang “The Iron Man” Jitmuangnon,Joseph Lasiri,WIN,Unanimous Decision,
Rodtang “The Iron Man” Jitmuangnon,Jacob Smith,WIN,Unanimous Decision,
Rodtang “The Iron Man” Jitmuangnon,Demetrious Johnson,LOSS,Submission,
Rodtang “The Iron Man” Jitmuangnon,Danial Williams,WIN,Unanimous Decision,
Rodtang “The Iron Man” Jitmuangnon,Tagir Khalilov,WIN,Split Decision,
Rodtang “The Iron Man” Jitmuangnon,Petchdam Petchyindee,WIN,Majority Decision,
Rodtang “The Iron Man” Jitmuangnon,Jonathan Haggerty,WIN,TKO,
Rodtang “The Iron Man” Jitmuangnon,Walter Goncalves,WIN,Split Decision,
Rodtang “The Iron Man” Jitmuangnon,Jonathan Haggerty,WIN,Unanimous Decision,
Rodtang “The Iron Man” Jitmuangnon,Sok Thy,WIN,Knockout,
Rodtang “The Iron Man” Jitmuangnon,Hakim Hamech,WIN,Split Decision,
Rodtang “The Iron Man” Jitmuangnon,Fahdi Khaled,WIN,Unanimous Decision,
Rodtang “The Iron Man” Jitmuangnon,Sergio Wielzen,WIN,Unanimous Decision,
Roman Kryklia,Lyndon Knowles,WIN,Knockout,
Roman Kryklia,Alex Roberts,WIN,Knockout,
Roman Kryklia,Iraj Azizpour,WIN,TKO,
Roman Kryklia,Guto Inocente,WIN,TKO,
Roman Kryklia,Murat Aygun,WIN,Knockout,
Roman Kryklia,Andrei Stoica,WIN,Unanimous Decision,
Roman Kryklia,Tarik Khbabez,WIN,TKO,
Smilla “The Hurricane” Sundell,Natalia Diachkova,WIN,TKO,
Smilla “The Hurricane” Sundell,Allycia Hellen Rodrigues,WIN,TKO,
Smilla “The Hurricane” Sundell,Milana Bjelogrlic,WIN,Unanimous Decision,
Smilla “The Hurricane” Sundell,Jackie Buntan,WIN,Unanimous Decision,
Smilla “The Hurricane” Sundell,Diandra Martin,WIN,TKO,
Stamp Fairtex,Ham Seo Hee,WIN,TKO,
Stamp Fairtex,Alyse Anderson,WIN,Knockout,
Stamp Fairtex,Anna Jaroonsak,WIN,Split Decision,
Stamp Fairtex,Jihin Radzuan,WIN,Unanimous Decision,
Stamp Fairtex,Angela Lee,LOSS,Submission,
Stamp Fairtex,Ritu Phogat,WIN,Submission,
Stamp Fairtex,Julie Mezabarba,WIN,Unanimous Decision,
Stamp Fairtex,Alyona Rassohyna,WIN,Split Decision,
Stamp Fairtex,Alyona Rassohyna,LOSS,Submission,
Stamp Fairtex,Allycia Hellen Rodrigues,LOSS,Majority Decision,
Stamp Fairtex,Sunisa Srisen,WIN,TKO,
Stamp Fairtex,Janet Todd,LOSS,Split Decision,
Stamp Fairtex,Puja Tomar,WIN,TKO,
Stamp Fairtex,Bi Nguyen,WIN,Unanimous Decision,
Stamp Fairtex,Asha Roka,WIN,Submission,
Stamp Fairtex,Alma Juniku,WIN,Unanimous Decision,
Stamp Fairtex,Janet Todd,WIN,Unanimous Decision,
Stamp Fairtex,Chuang Kai Ting,WIN,Unanimous Decision,
Superbon,Tawanchai PK Saenchai,LOSS,TKO,
Superbon,Jo Nattawut,WIN,Knockout,
Superbon,Marat Grigorian,WIN,Unanimous Decision,
Superbon,Tawanchai PK Saenchai,LOSS,Majority Decision,
Superbon,Tayfun Ozcan,WIN,Knockout,
Superbon,Chingiz Allazov,LOSS,Knockout,
Superbon,Marat Grigorian,WIN,Unanimous Decision,
Superbon,Giorgio Petrosyan,WIN,Knockout,
Superbon,Sitthichai Sitsongpeenong,WIN,Unanimous Decision,
“The Kicking Machine” Superlek Kiatmoo9,Nabil Anane,LOSS,Unanimous Decision,
“The Kicking Machine” Superlek Kiatmoo9,Jonathan Haggerty,WIN,Knockout,
“The Kicking Machine” Superlek Kiatmoo9,Kongthoranee Sor Sommai,WIN,Unanimous Decision,
“The Kicking Machine” Superlek Kiatmoo9,Takeru Segawa,WIN,Unanimous Decision,
“The Kicking Machine” Superlek Kiatmoo9,Rodtang Jitmuangnon,WIN,Unanimous Decision,
“The Kicking Machine” Superlek Kiatmoo9,Tagir Khalilov,WIN,TKO,
“The Kicking Machine” Superlek Kiatmoo9,Nabil Anane,WIN,Knockout,
“The Kicking Machine” Superlek Kiatmoo9,Danial Williams,WIN,Knockout,
“The Kicking Machine” Superlek Kiatmoo9,Daniel Puertas,WIN,Unanimous Decision,
“The Kicking Machine” Superlek Kiatmoo9,Panpayak Jitmuangnon,WIN,Split Decision,
“The Kicking Machine” Superlek Kiatmoo9,Walter Goncalves,WIN,Knockout,
“The Kicking Machine” Superlek Kiatmoo9,Taiki Naito,WIN,Unanimous Decision,
“The Kicking Machine” Superlek Kiatmoo9,Ilias Ennahachi,LOSS,Unanimous Decision,
“The Kicking Machine” Superlek Kiatmoo9,Fahdi Khaled,WIN,Unanimous Decision,
“The Kicking Machine” Superlek Kiatmoo9,Panpayak Jitmuangnon,WIN,Unanimous Decision,
“The Kicking Machine” Superlek Kiatmoo9,Rui Botelho,WIN,Unanimous Decision,
“The Kicking Machine” Superlek Kiatmoo9,Lao Chetra,WIN,Unanimous Decision,
Tang Kai,Akbar Abdullaev,LOSS,TKO,
Tang Kai,Thanh Le,WIN,TKO,
Tang Kai,Thanh Le,WIN,Unanimous Decision,
Tang Kai,Kim Jae Woong,WIN,Knockout,
Tang Kai,Yoon Chang Min,WIN,TKO,
Tang Kai,Ryogo Takahashi,WIN,Knockout,
Tang Kai,Keanu Subba,WIN,Unanimous Decision,
Tang Kai,Edward Kelly,WIN,Unanimous Decision,
Tang Kai,Sung Jong Lee,WIN,Knockout,
Tawanchai PK Saenchai,Masaaki Noiri,LOSS,TKO,
Tawanchai PK Saenchai,Superbon,WIN,TKO,
Tawanchai PK Saenchai,Jo Nattawut,WIN,Majority Decision,
Tawanchai PK Saenchai,Superbon,WIN,Majority Decision,
Tawanchai PK Saenchai,Jo Nattawut,WIN,Unanimous Decision,
Tawanchai PK Saenchai,Davit Kiria,WIN,TKO,
Tawanchai PK Saenchai,Jamal Yusupov,WIN,TKO,
Tawanchai PK Saenchai,Petchmorakot Petchyindee,WIN,Unanimous Decision,
Tawanchai PK Saenchai,Niclas Larsen,WIN,Knockout,
Tawanchai PK Saenchai,Saemapetch Fairtex,WIN,Knockout,
Tawanchai PK Saenchai,Sitthichai Sitsongpeenong,LOSS,Split Decision,
Tawanchai PK Saenchai,Sean Clancy,WIN,Knockout,
Thanh Le,Tang Kai,LOSS,TKO,
Thanh Le,Ilya Freymanov,WIN,Submission,
Thanh Le,Tang Kai,LOSS,Unanimous Decision,
Thanh Le,Garry Tonon,WIN,Knockout,
Thanh Le,Martin Nguyen,WIN,Knockout,
Thanh Le,Ryogo Takahashi,WIN,Knockout,
Thanh Le,Kotetsu Boku,WIN,Knockout,
Thanh Le,Yusup Saadulaev,WIN,Knockout,
Tye Ruotolo,Dante Leon,WIN,Unanimous Decision,
Tye Ruotolo,Jozef Chen,WIN,Unanimous Decision,
Tye Ruotolo,Izaak Michell,WIN,Submission,
Tye Ruotolo,Magomed Abdulkadirov,WIN,Unanimous Decision,
Tye Ruotolo,Dagi Arslanaliev,WIN,Submission,
Tye Ruotolo,Reinier de Ridder,WIN,Unanimous Decision,
Tye Ruotolo,Marat Gafurov,WIN,Submission,
Tye Ruotolo,Garry Tonon,WIN,Submission,
“The Panda” Xiong Jing Nan,Meng Bo,WIN,Unanimous Decision,
“The Panda” Xiong Jing Nan,Nat Jaroonsak,WIN,TKO,
“The Panda” Xiong Jing Nan,Angela Lee,WIN,Unanimous Decision,
“The Panda” Xiong Jing Nan,Ayaka Miura,WIN,Unanimous Decision,
“The Panda” Xiong Jing Nan,Michelle Nicolini,WIN,Unanimous Decision,
“The Panda” Xiong Jing Nan,Tiffany Teo,WIN,Unanimous Decision,
“The Panda” Xiong Jing Nan,Angela Lee,LOSS,Submission,
“The Panda” Xiong Jing Nan,Angela Lee,WIN,Knockout,
“The Panda” Xiong Jing Nan,Samara Santos,WIN,TKO,
“The Panda” Xiong Jing Nan,Laura Balin,WIN,Unanimous Decision,
“The Panda” Xiong Jing Nan,Tiffany Teo,WIN,TKO,
“The Panda” Xiong Jing Nan,April Osenio,WIN,TKO,
Yuya “Little Piranha” Wakamatsu,Adriano Moraes,WIN,TKO,
Yuya “Little Piranha” Wakamatsu,Gilbert Nakatani,WIN,Unanimous Decision,
Yuya “Little Piranha” Wakamatsu,Danny Kingad,WIN,Unanimous Decision,
Yuya “Little Piranha” Wakamatsu,Xie Wei,WIN,TKO,
Yuya “Little Piranha” Wakamatsu,Woo Sung Hoon,LOSS,TKO,
Yuya “Little Piranha” Wakamatsu,Adriano Moraes,LOSS,Submission,
Yuya “Little Piranha” Wakamatsu,Hu Yong,WIN,Unanimous Decision,
Yuya “Little Piranha” Wakamatsu,Reece McLaren,WIN,Unanimous Decision,
Yuya “Little Piranha” Wakamatsu,Kim Kyu Sung,WIN,Knockout,
Yuya “Little Piranha” Wakamatsu,Dae Hwan Kim,WIN,Unanimous Decision,
Yuya “Little Piranha” Wakamatsu,Geje Eustaquio,WIN,Knockout,
Yuya “Little Piranha” Wakamatsu,Demetrious Johnson,LOSS,Submission,
Yuya “Little Piranha” Wakamatsu,Danny Kingad,LOSS,Unanimous Decision,
“Tiger” A Xi Shi Ga,Yan Zhi Yuan,LOSS,Submission,
Aaron “Tommy Gun” Canarte,Enkh-Orgil Baatarkhuu,LOSS,Submission,
Aaron “Tommy Gun” Canarte,Shamil Gasanov,LOSS,Unanimous Decision,
Aaron “Tommy Gun” Canarte,Akbar Abdullaev,LOSS,TKO,
Abdallah Ondash,Singdomthong Nokjeanladkrabang,WIN,Knockout,
Abdallah Ondash,Petlampun Muadablampang,WIN,Knockout,
Abdallah Ondash,Chokpreecha PK Saenchai,LOSS,Majority Decision,
Abdallah Ondash,Suesat Manop Gym,WIN,Unanimous Decision,
Abdallah Ondash,Parnpet Sor Jor Lekmuangnon,WIN,Knockout,
Abdallah Ondash,Palangboon Wor Santai,WIN,Split Decision,
Abdallah Ondash,Parnpet Sor Jor Lekmuangnon,WIN,Knockout,
Abdelali “Black Diamond” Zahidi,Marat Grigorian,LOSS,Knockout,
Abdelali “Black Diamond” Zahidi,Tun Min Aung,WIN,Knockout,
Abdessamie Rhenimi,Khunpon Or AudUdon,LOSS,Split Decision,
Abdulgadzhi “Gorets” Gaziev,Ivan Bondarchuk,LOSS,Knockout,
Abdulla Dayakaev,Saemapetch Fairtex,WIN,TKO,
Abdulla Dayakaev,Alessio Malatesta,WIN,Knockout,
