Name,Weight (kg),Height (cm),Country,Age,Team,Sport,Gender,Weight ClassWIN,LOSS,DRAW,W TKO,W Submission,W Disqualification,W Unanimous Decision,W Split Decision,L TKO,L Submission,L Disqualification,L Unanimous Decision,L Split Decision,Total Fights
Asliddin “Uzbek Tiger” Eshankulov,69.9,170.0,Uzbekistan,27,Fight Geek / Raqobat Fight,MMA,Male,Featherweight,1,0,0,0,1,0,0,0,0,0,0,0,0,1
Asset “Namur” Anarbayev,64.8,173.0,Kazakhstan,25,Tiger Muay Thai,MMA,Male,Bantamweight,0,1,0,0,0,0,0,0,0,0,0,1,0,1
Asuka Tsubaki,70.3,173.0,Japan,29,Try Dent Gym,MMA,Male,Featherweight,2,0,0,1,0,0,1,0,0,0,0,0,0,2
Attachai Kelasport,54.8,168.0,Thailand,22,Boxing Army 3,Muay Thai,Male,Strawweight,1,0,0,0,0,0,1,0,0,0,0,0,0,1
Aung La “The Burmese Python” N Sang,92.2,185.0,Myanmar [Burma],40,Kill Cliff FC,MMA,Male,Middleweight,14,5,0,5,4,0,2,0,1,1,0,2,0,19
Avatar PK Saenchai,-1,172.0,Thailand,31,PK Saenchai Muaythaigym,Muay Thai,Male,Out of range,5,4,0,0,0,0,3,1,0,0,0,1,1,9
Avazbek “Ninzya” Kholmirzaev,56.7,175.0,Uzbekistan,24,Raqobat,MMA,Male,Flyweight,6,1,0,2,4,0,0,0,0,0,0,1,0,7
Avliyohon “Uzbek Boen” Hamidov,-1,169.0,Uzbekistan,34,Fight Geek,MMA,Male,Out of range,0,1,0,0,0,0,0,0,1,0,0,0,0,1
Award “The African Venom” Kazimba,-1,177.0,Uganda,26,King of Muaythai,Muay Thai,Male,Out of range,0,1,0,0,0,0,0,0,0,0,0,1,0,1
Ayad Albadr,-1,172.0,Iraq,23,Venum Training Camp,Muay Thai,Male,Out of range,1,2,0,0,0,0,1,0,0,0,0,2,0,3
Ayaka “Zombie” Miura,51.5,157.0,Japan,34,Tribe Tokyo MMA,MMA,Male,Atomweight,8,4,0,0,7,0,1,0,2,0,0,2,0,12
“A.J.” Ayideng Jumayi,65.8,173.0,China,33,Longyun MMA,MMA,Male,Featherweight,0,2,0,0,0,0,0,0,1,0,0,1,0,2
“Tianshan Eagle” Ayijiake Akenbieke,70.3,175.0,China,31,Hebei Wanshi Fight Club,MMA,Male,Featherweight,1,1,0,0,0,0,1,0,0,0,0,1,0,2
Ayoub Bahri,-1,193.0,Algeria,22,Sor Dechapan,Muay Thai,Male,Out of range,0,1,0,0,0,0,0,0,0,0,0,1,0,1
Ayoub El Khadraoui,-1,180.0,Morocco,20,Elamghari Muaythai Team,Muay Thai,Male,Out of range,1,0,0,1,0,0,0,0,0,0,0,0,0,1
Azize “The Magician” Hlali,65.8,180.0,Morocco,34,Venum Training Camp,Muay Thai,Male,Featherweight,0,1,0,0,0,0,0,0,0,0,0,1,0,1
Babar “The Flogger” Ali,-1,175.0,Afghanistan,22,KAKS,MMA,Male,Out of range,1,1,0,0,0,0,1,0,0,0,0,1,0,2
Baktygul Kurmanbekova,-1,156.0,Kyrgyzstan,21,JFC Bishkek,MMA,Male,Out of range,0,1,0,0,0,0,0,0,0,0,0,1,0,1
Bampara Kouyate,70.31,187.0,France / Mali,30,Team Mehdi Zatout,Muay Thai,Male,Lightweight,2,1,0,2,0,0,0,0,0,0,0,1,0,3
Banluelok Sitwatcharachai,-1,159.0,Thailand,28,Detrat,Muay Thai,Male,Out of range,3,0,0,1,0,0,0,0,0,0,0,0,0,3
Banma “The Prince” Duoji,60.6,173.0,China,27,Enbo Gedou,MMA,Male,Flyweight,1,2,1,0,0,0,1,0,1,0,0,1,0,4
Banna Hayashi,57.0,170.0,Japan,21,RS Team,Muay Thai,Male,Flyweight,1,1,0,0,0,0,0,0,0,0,0,1,0,2
Banpot “The Machine” Lertthaisong,76.3,180.0,Thailand,30,Heavy Martial Arts,Submission Grappling,Male,Lightweight,0,1,0,0,0,0,0,0,0,1,0,0,0,1
Baramee Sujeebameekiew,62.4,169.0,Thailand,25,Sujeebameekiew,Muay Thai,Male,Bantamweight,1,1,0,0,0,0,0,0,0,0,0,0,0,2
Barbara Aguiar,-1,166.0,Brazil,29,Phuket Fight Club,Muay Thai,Male,Out of range,0,1,0,0,0,0,0,0,0,0,0,1,0,1
Bartosz “Cossack” Skrok,-1,175.0,Poland,32,Matrix MMA / Tiger Muay Thai,MMA,Male,Out of range,0,0,1,0,0,0,0,0,0,0,0,0,0,1
Batman Or Atchariya,-1,173.0,Thailand,30,Kiatphet Gym,Muay Thai,Male,Out of range,1,2,0,0,0,0,0,0,0,0,0,1,0,3
Batochir Batsaikhan,-1,176.0,Mongolia,24,Teiwaz Striking,MMA,Male,Out of range,1,0,0,1,0,0,0,0,0,0,0,0,0,1
Batradz “Cannibal” Gazzaev,104.0,185.0,Russia,33,Alania Fighting Team,MMA,Male,Heavyweight,0,1,0,0,0,0,0,0,1,0,0,0,0,1
Beckham Bigwinchampiongym,-1,178.0,Japan / Thailand,28,Banchamek Gym,Muay Thai,Male,Out of range,1,0,0,0,0,0,1,0,0,0,0,0,0,1
Bektur Zhenishbek Uulu,-1,162.0,Kyrgyzstan,25,Katran,MMA,Male,Out of range,1,0,0,0,0,0,1,0,0,0,0,0,0,1
Ben Parker,-1,188.0,United States,42,Q23 / Temple BJJ,MMA,Male,Out of range,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Ben “Vanilla Thunder” Tynan,-1,191.0,Canada,31,Elevation Fight Team,MMA,Male,Out of range,1,0,1,0,1,0,0,0,0,0,0,0,0,2
Ben Wilhelm,83.2,175.0,United States,35,Gracie Technics,MMA,Male,Welterweight,0,2,0,0,0,0,0,0,0,1,0,1,0,2
Bernueng Sor Salacheep,-1,165.0,Thailand,17,Sor Salacheep,Muay Thai,Male,Out of range,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Beybulat Isaev,101.8,190.0,Russia,31,Fight Club NORD 86,Muay Thai,Male,Light Heavyweight,4,2,0,1,0,0,2,0,0,0,0,0,0,6
Bhumjaithai Mor Tor 1,55.7,170.0,Thailand,22,PK Saenchai Muaythaigym,Muay Thai,Male,Strawweight,1,1,0,1,0,0,0,0,0,0,0,1,0,2
Bi “Killer Bee” Nguyen,52.1,150.0,United States / Vietnam,35,Heritage Muay Thai / Xtreme Couture,MMA,Male,Atomweight,3,5,0,1,0,0,0,2,0,0,0,4,1,8
“Fate Warrior” Bian Ye,56.7,169.0,China,34,Benxi Shangwu Fight Club,MMA,Male,Flyweight,2,0,0,1,0,0,1,0,0,0,0,0,0,2
Bianca Basilio,59.4,160.0,Brazil,29,Almeida Jiu Jitsu,Submission Grappling,Male,Flyweight,2,1,0,0,2,0,0,0,0,0,0,1,0,3
Bibiano “The Flash” Fernandes,66.8,170.0,Brazil / Canada,45,AMC Pankration,MMA,Male,Featherweight,12,4,0,0,4,1,3,3,0,0,0,2,1,16
Bilal “Lone Wolf” Hussain,69.9,178.0,Pakistan,23,SAGMMA,MMA,Male,Featherweight,0,1,0,0,0,0,0,0,0,1,0,0,0,1
Binladin Sangmorakot,-1,164.0,Thailand,25,Sangmorakot,Muay Thai,Male,Out of range,0,2,0,0,0,0,0,0,1,0,0,0,0,2
Bismarck Gomes,-1,183.0,Brazil,31,Evolve MMA,MMA,Male,Out of range,1,1,0,0,1,0,0,0,0,1,0,0,0,2
Black Panther,56.7,168.0,Thailand,25,Team Mehdi Zatout,Muay Thai,Male,Flyweight,3,1,0,0,0,0,1,1,0,0,0,0,0,4
Blair “The Bomber” Geraghty,-1,175.0,Australia,18,Tiger Muay Thai,Muay Thai,Male,Out of range,0,1,0,0,0,0,0,0,0,0,0,1,0,1
Blake Cooper,75.9,170.0,United States,28,0,MMA,Male,Lightweight,0,2,0,0,0,0,0,0,1,1,0,0,0,2
BM Fairtex,-1,171.0,Thailand,21,Fairtex Training Center,Muay Thai,Male,Out of range,1,2,0,0,0,0,1,0,0,0,0,0,0,3
Bo Fu Fan,83.9,182.0,China,32,Xiangwang Fight Club,Kickboxing,Male,Welterweight,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Bobirjon “Prince” Isroilov,-1,174.0,Uzbekistan,26,Flipside / Legion Fight Club,Muay Thai,Male,Out of range,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Bogdan Shumarov,76.3,180.0,Bulgaria,28,SB Gym,Kickboxing,Male,Lightweight,2,1,0,1,0,0,0,0,0,0,0,0,1,3
Bogdan “Bucharest Bad Boy” Stoica,102.1,193.0,Romania,35,Stoica Brothers Fight Academy,Kickboxing,Male,Heavyweight,0,1,0,0,0,0,0,0,0,0,0,1,0,1
Bokang “Little Giant” Masunyane,56.5,155.0,South Africa,31,Coach Quan University,MMA,Male,Strawweight,4,3,0,0,0,0,3,0,0,1,0,2,0,7
Bolat “Nightmare” Zamanbekov,61.1,165.0,Kazakhstan,28,DAR Team / KROC Sports,MMA,Male,Flyweight,0,2,0,0,0,0,0,0,0,1,0,0,0,2
Boonchot Sor Boonmeerit,-1,170.0,Thailand,20,Sor Boonmeerit,Muay Thai,Male,Out of range,0,1,0,0,0,0,0,0,0,0,0,1,0,1
Boonchu Sor Boonmeerit,55.1,178.0,Thailand,20,Sor Boonmeerit,Muay Thai,Male,Strawweight,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Boonlert Sor Boonmeerit,66.2,180.0,Thailand,19,Sor Boonmeerit,Muay Thai,Male,Featherweight,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Brandon “The Truth” Vera,120.2,191.0,Philippines,47,Alliance Training Center,MMA,Male,Heavyweight,4,3,0,2,0,0,0,0,3,0,0,0,0,7
Brazil Aekmuangnon,56.3,171.0,Thailand,19,Aekmuangnon,Muay Thai,Male,Strawweight,4,2,0,0,0,0,3,1,1,0,0,1,0,6
Brett “The American Nomad” Pastore,76.6,178.0,United States,30,Tiger Muay Thai,MMA,Male,Lightweight,1,1,0,0,0,0,1,0,0,1,0,0,0,2
Brice “The Truck” Delval,65.8,178.0,Algeria,25,Mahmoudi Gym,Muay Thai,Male,Featherweight,0,3,0,0,0,0,0,0,0,0,0,1,2,3
Brooke Farrell,56.7,165.0,Australia,33,Power House Phuket,Muay Thai,Male,Flyweight,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Bruno “Macaco” Azevedo,-1,166.0,Brazil,34,Phuket Fight Club / Spitfire Gym Berlin,Submission Grappling,Male,Out of range,1,1,0,0,1,0,0,0,0,1,0,0,0,2
Bryan Tee,56.7,168.0,Singapore,27,Evolve MMA,Muay Thai,NA,Flyweight,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Buakhiao Por Paoin,-1,177.0,Thailand,23,N&P Boxing Gym,Muay Thai,Male,Out of range,5,1,0,0,0,0,3,1,0,0,0,0,0,6
Marcus “Buchecha” Almeida,117.5,191.0,Brazil,34,American Top Team / Evolve MMA,MMA,Male,Heavyweight,5,1,0,1,4,0,0,0,0,0,0,1,0,6
Burengnong Lukjaoporongtom,-1,168.0,Thailand,21,Kiatpet,Muay Thai,Male,Out of range,0,1,0,0,0,0,0,0,0,0,0,1,0,1
Byung Hee “The Lucky Guy” Lim,77.1,177.0,South Korea,28,Extreme Combat,MMA,Male,Lightweight,1,0,0,1,0,0,0,0,0,0,0,0,0,1
Cai Xiong Xiong,56.7,163.0,China,29,Sunkin International Fight Club,MMA,Male,Flyweight,2,3,0,1,0,0,0,0,0,2,0,1,0,5
Caitlin McEwen,56.7,163.0,Australia,28,Stockade Training Center,MMA,Male,Flyweight,1,0,0,0,1,0,0,0,0,0,0,0,0,1
“One Punch Man” Capitan Petchyindee,65.6,169.0,Thailand,32,Petchyindee Academy,Muay Thai,Male,Bantamweight,3,2,0,0,0,0,1,0,0,0,0,1,1,5
Carlo Bumina-ang,65.5,162.0,Philippines,31,Team Lakay,MMA,Male,Bantamweight,7,1,0,2,2,0,0,1,0,1,0,0,0,8
Carlos Alvarez,-1,173.0,Philippines,26,Team Lakay,MMA,Male,Out of range,5,1,0,2,3,0,0,0,1,0,0,0,0,6
Celest Hansen,47.63,162.0,Australia,31,Fairtex Training Center,Muay Thai,Male,Atomweight,3,4,0,1,0,0,1,1,1,0,0,2,1,7
Cep Holik,56.7,165.0,Indonesia,36,PPSI,MMA,Male,Flyweight,0,1,0,0,0,0,0,0,0,0,0,1,0,1
Chabakaew Sor KanJanchai,51.6,157.0,Thailand,19,Luk Chaomae Saithong,Muay Thai,Male,Atomweight,3,1,0,0,0,0,1,1,0,0,0,1,0,4
Chalamdam Sor Boonmeerit,-1,167.0,Thailand,24,Sor Boonmeerit,Muay Thai,Male,Out of range,2,2,0,2,0,0,0,0,0,0,0,0,0,4
Chalarm Paranchai,-1,171.0,Thailand,29,Paranchai,Muay Thai,Male,Out of range,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Chalarmdam “King Speed” Nayokatasala,-1,165.0,Thailand,19,Sor Chokmeechai,Muay Thai,Male,Out of range,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Chalawan Ngorbangkapi,-1,168.0,Thailand,31,Sor Sommai,Muay Thai,Male,Out of range,2,3,0,0,0,0,0,0,0,0,0,0,0,5
Chalie Singha Mawynn,-1,170.0,Thailand,22,Singha Mawynn Muay Thai,Muay Thai,Male,Out of range,1,2,0,0,0,0,0,0,0,0,0,1,0,3
Chalongsuk Jacksonmuaythai,59.6,168.0,Thailand,36,Jackson Muay Thai Gym,Muay Thai,Male,Flyweight,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Chama Superbon Training Camp,66.5,172.0,Thailand,26,Superbon Training Camp,Muay Thai,Male,Featherweight,2,0,0,1,0,0,1,0,0,0,0,0,0,2
Champangarm Por Pramuk,-1,165.0,Thailand,25,Por Pramuk,Muay Thai,Male,Out of range,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Chan Rothana,63.9,169.0,Cambodia,39,FFG / Selapak,MMA,Male,Bantamweight,6,5,0,5,0,0,1,0,2,2,0,1,0,11
Chanajon PK Saenchai,-1,180.0,Thailand,36,PK Saenchai Muaythaigym,Muay Thai,Male,Out of range,3,2,0,0,0,0,1,1,0,0,0,1,0,5
Chang Ho Lee,65.8,173.0,South Korea,31,Team Max,MMA,Male,Featherweight,1,0,0,1,0,0,0,0,0,0,0,0,0,1
Chang Shuai,77.1,179.0,China,32,Baoding Hunter,MMA,Male,Lightweight,1,2,0,0,0,0,1,0,0,2,0,0,0,3
Changthong M U Den,-1,176.0,Thailand,21,FA Group / M U Den,Muay Thai,Male,Out of range,0,2,0,0,0,0,0,0,0,0,0,0,0,2
Changy “Boyka” Kara-Ool,56.7,165.0,Russia,27,Red Eagles,MMA,Male,Flyweight,2,2,0,1,0,0,0,0,0,2,0,0,0,4
Chaongoh Jitmuangnon,-1,165.0,Thailand,23,Jitmuangnon Gym,Muay Thai,Male,Out of range,1,1,0,1,0,0,0,0,0,0,0,0,0,2
Chartmungkorn Chor Hapayak,-1,165.0,Thailand,24,Chor Hapayak,Muay Thai,Male,Out of range,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Chartpayak Saksatoon,-1,168.0,Thailand,26,Kiatpetch,Muay Thai,Male,Out of range,7,0,0,0,0,0,1,0,0,0,0,0,0,7
Chatanan Sor Jor Joyprajin,-1,172.0,Thailand,21,An Sukhumvit,Muay Thai,Male,Out of range,2,1,0,1,0,0,0,0,0,0,0,0,0,3
Chathai Bang Saen Fight Club,-1,170.0,Thailand,21,Bangsaen Fight Club,Muay Thai,Male,Out of range,1,1,0,0,0,0,0,1,0,0,0,0,0,2
Chatpet Lampang Sports School,71.9,175.0,Thailand,17,Lampang Sports School,Muay Thai,Male,Lightweight,0,1,0,0,0,0,0,0,1,0,0,0,0,1
Chatpichit Sor Sor Toipadriew,51.1,160.0,Thailand,25,SorSorToipadriew,Muay Thai,Male,Atomweight,4,2,0,0,0,0,3,0,0,0,0,2,0,6
Chattawee NayokJoyprajin,-1,180.0,Thailand,20,NayokJoyprajin,Muay Thai,Male,Out of range,0,1,0,0,0,0,0,0,0,0,0,1,0,1
Chayan Oorzhak,-1,168.0,Mongolia / Russia,33,IdeaJJ Team,MMA,Male,Out of range,4,1,0,3,0,0,1,0,0,1,0,0,0,5
Chellina Chirino,-1,166.0,Curaçao / Netherlands,26,Days Gym / Tiger Muay Thai,Kickboxing,Male,Out of range,0,3,0,0,0,0,0,0,0,0,0,1,1,3
Chen Hao,68.1,170.0,China,31,Longyun MMA,MMA,Male,Featherweight,1,0,0,0,0,0,1,0,0,0,0,0,0,1
Chen “Imperial Edict” Jia Yi,61.2,180.0,China,24,Anhui Tianxia Huihuang Fight Club,Kickboxing,Male,Flyweight,1,0,0,0,0,0,1,0,0,0,0,0,0,1
Chen Jiayi,-1,180.0,China,24,Anhui Tianxia Huihiang Fight Club,Muay Thai,Male,Out of range,0,1,0,0,0,0,0,0,1,0,0,0,0,1
“The Ghost” Chen Rui,65.7,170.0,China,28,Chengdu Ashura Fight Club,MMA,Male,Bantamweight,5,5,0,2,0,0,2,1,2,1,0,1,1,10
Chihiro Sawada,51.4,150.0,Japan,27,AACC,MMA,Male,Atomweight,3,1,0,0,1,0,2,0,0,0,0,1,0,4
Chloe “Cupcake” Cooke,51.4,158.0,United Kingdom,24,Team Underground,MMA,Male,Atomweight,0,1,0,0,0,0,0,0,0,0,0,1,0,1
Cho “Hanma Baki” Gyu Jun,-1,75.0,South Korea,20,Yatcha Club Gym,MMA,Male,Out of range,0,1,0,0,0,0,0,0,0,1,0,0,0,1
Cho “Tyrant” Joon Gun,-1,160.0,South Korea,18,Team Marco / The Gym Lab,MMA,Male,Out of range,0,2,0,0,0,0,0,0,1,1,0,0,0,2
Choi Jeong Yun,59.0,174.0,South Korea,27,The Gym Lab,MMA,Male,Flyweight,0,2,0,0,0,0,0,0,2,0,0,0,0,2
Chokdee Maxjandee,-1,160.0,Thailand,27,Sor Sommai,Muay Thai,Male,Out of range,3,4,0,1,0,0,1,0,0,0,0,1,0,7
Chokpreecha PK Saenchai,56.2,161.0,Thailand,33,PK Saenchai Muaythaigym,Muay Thai,Male,Strawweight,4,2,0,0,0,0,1,0,0,0,0,1,0,6
Chorfah Tor Sangtiennoi,59.7,170.0,Thailand,31,Sangtiennoi Gym,Muay Thai,Male,Flyweight,4,3,0,0,0,0,1,1,1,0,0,1,0,7
Chris Shaw,65.5,180.0,Scotland,35,Higher Level MMA,Muay Thai,Male,Bantamweight,0,2,0,0,0,0,0,0,0,0,0,2,0,2
Chu Nga Sze,-1,163.0,Hong Kong SAR China,25,Singpatong Gym,Muay Thai,Male,Out of range,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Chusap Sor Salacheep,-1,165.0,Thailand,25,Sor Salacheep,Muay Thai,Male,Out of range,0,2,0,0,0,0,0,0,2,0,0,0,0,2
Chusuan Chumaroonfarm,-1,182.0,Thailand,21,Sor Sommai,Muay Thai,Male,Out of range,0,1,0,0,0,0,0,0,0,0,0,1,0,1
Claire “Chun-Li” Rankine,-1,167.0,Scotland,30,Phuket Top Team,Muay Thai,Male,Out of range,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Claudia Diaz,-1,162.0,Spain,30,Tiger Muay Thai,MMA,Male,Out of range,0,1,0,0,0,0,0,0,1,0,0,0,0,1
Cleber “Clandestino” Sousa,61.1,165.0,Brazil,30,Almeida Jiu Jitsu,Submission Grappling,Male,Flyweight,1,1,0,0,1,0,0,0,0,0,0,1,0,2
Cody Jerome,65.77,-1.0,Canada,0,1,Muay Thai,Male,Featherweight,0,1,0,0,0,0,0,0,1,0,0,0,0,1
Colbey Northcutt,61.2,175.0,United States,32,Treigning Lab,MMA,Male,Flyweight,2,0,0,0,1,0,1,0,0,0,0,0,0,2
Cole Abate,-1,-1.0,United States,20,Art of Jiu-Jitsu Academy,Submission Grappling,Male,Out of range,1,0,0,0,1,0,0,0,0,0,0,0,0,1
Colton “The Monster” Kielbasa,-1,163.0,United States,-1,1 Y,MMA,Male,Out of range,1,0,0,0,1,0,0,0,0,0,0,0,0,1
Comeback TK Yutthana,-1,175.0,Thailand,22,TK Yuthanna,Muay Thai,Male,Out of range,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Connor Tymon,-1,182.0,United Kingdom,28,Brotherhood MMA / Royal Fight Club,MMA,Male,Out of range,1,0,0,1,0,0,0,0,0,0,0,0,0,1
Constantin “Lioncrusher” Rusu,76.5,180.0,Moldova / Russia,31,RLC Army,Kickboxing,Male,Lightweight,2,1,0,0,0,0,2,0,1,0,0,0,0,3
Coopar “Rush” Royal,61.1,169.0,Australia,25,Family Fight Team,MMA,Male,Flyweight,2,1,0,0,2,0,0,0,0,0,0,1,0,3
Copter Sor Sommai,57.0,172.0,Thailand,24,Sor Sommai,Muay Thai,Male,Flyweight,1,2,0,0,0,0,1,0,0,0,0,0,0,3
Cosmo “Good Boy” Alexandre,77.1,187.0,Brazil,43,Evolution MMA,Muay Thai,Male,Lightweight,3,1,0,0,0,0,0,0,0,0,0,0,0,4
Courtney “No Mercy” Martin,60.6,168.0,Australia,32,Wolves Den Perth,MMA,Male,Flyweight,0,1,0,0,0,0,0,0,0,1,0,0,0,1
Craig “Coco” Coakley,-1,182.0,Ireland,32,Dublin Combat Academy,Muay Thai,Male,Out of range,0,2,0,0,0,0,0,0,0,0,0,1,0,2
Craig Hutchison,75.7,183.0,Japan / United Kingdom,27,Carpe Diem,Submission Grappling,Male,Lightweight,1,1,0,0,1,0,0,0,0,0,0,1,0,2
Cristina Morales,52.2,167.0,Spain,31,Team Jesus Cabello,Muay Thai,Male,Strawweight,1,2,0,1,0,0,0,0,1,0,0,1,0,3
Dabdam Por Tor Tor Thongtawee,-1,165.0,Thailand,25,Petsomnuck / Por Tor Tor Thongtawee,Muay Thai,Male,Out of range,1,4,0,0,0,0,0,1,0,0,0,3,0,5
“Ottogi” Dae Hwan Kim,61.2,165.0,South Korea,38,KukJe Gym / Ryeong Promotion,MMA,Male,Flyweight,6,8,0,1,3,0,2,0,1,0,1,6,0,14
“Crazy Dog” Dae Sung Park,77.0,178.0,South Korea,32,Team Macho,MMA,Male,Lightweight,4,2,0,1,0,0,2,1,1,0,0,0,1,6
Dagi Arslanaliev,80.6,178.0,Turkey,30,2,MMA,Male,Welterweight,8,4,0,4,2,0,0,0,0,1,1,1,0,12
Dai Xiong Li,61.2,175.0,China,29,Chengdu Ashura Fight Club,Kickboxing,Male,Flyweight,0,1,0,0,0,0,0,0,1,0,0,0,0,1
Dalir “Kurdish Warrior” Moradian,-1,187.0,Iran,33,Bezhad Warrior Academy,MMA,Male,Out of range,0,1,0,0,0,0,0,0,1,0,0,0,0,1
“Mini T” Danial Williams,56.5,168.0,Australia / Thailand,32,Kao Sok Muay Thai / Scrappy MMA,Muay Thai,Male,Strawweight,4,6,0,0,0,0,2,0,2,0,0,3,0,10
Daniel Donchenko,-1,182.0,Ukraine,23,Tiger Muay Thai,MMA,Male,Out of range,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Daniel Puertas,61.2,172.0,Spain,32,Ultimate Fight School,Kickboxing,Male,Flyweight,1,2,0,0,0,0,0,1,0,0,0,2,0,3
Daniela Lopez,56.2,163.0,Argentina,-1,FA Group,Muay Thai,Male,Strawweight,0,2,0,0,0,0,0,0,1,0,0,1,0,2
Danila Vasilikhin,-1,169.0,Russia,22,Team Mehdi Zatout,Muay Thai,Male,Out of range,0,2,0,0,0,0,0,0,1,0,0,0,0,2
Daniyal Zainalov,92.6,183.0,Russia,39,Yugansk Fight Team,MMA,Male,Middleweight,1,0,0,0,0,0,0,1,0,0,0,0,0,1
Dankalong Sor Dechapan,-1,170.0,Thailand,19,Sor Dechapan,Muay Thai,Male,Out of range,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Danny “The King” Kingad,61.1,165.0,Philippines,29,Lions Nation MMA,MMA,Male,Flyweight,11,5,0,1,1,0,8,1,0,2,0,3,0,16
Dante Leon,102.06,-1.0,Canada,30,Pedigo Submission Fighting,Submission Grappling,Male,Heavyweight,2,1,0,0,1,0,1,0,0,0,0,1,0,3
Darkie Nokkhao KorMor11,-1,173.0,Thailand,27,Nokkhao Kor Mor 11,Muay Thai,Male,Out of range,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Dave “Kintas” Bangguigui,56.7,163.0,Philippines,29,Fight Corps MMA,MMA,Male,Flyweight,3,2,0,0,1,0,1,0,1,0,0,1,0,5
David “DC” Cooke,70.3,182.0,United Kingdom,22,Knowlesy Academy / Team Underground,MMA,Male,Featherweight,1,1,0,1,0,0,0,0,0,0,0,0,1,2
Davit Kiria,70.3,170.0,Georgia,36,Team Kiria,Kickboxing,Male,Featherweight,1,4,0,1,0,0,0,0,1,0,0,3,0,5
Da Woon Jung,61.2,168.0,South Korea,33,Team POMA,MMA,Male,Flyweight,1,0,0,1,0,0,0,0,0,0,0,0,0,1
Dayane “Day Monster” Cardoso,56.4,160.0,Brazil,29,Carioca Academy,MMA,Male,Strawweight,1,1,0,1,0,0,0,0,0,0,0,1,0,2
Decho Por Borirak,-1,175.0,Thailand,22,Singha Mawynn,Muay Thai,Male,Out of range,2,0,0,0,0,0,1,1,0,0,0,0,0,2
Dedduanglek Wankhongohm MBK,56.7,175.0,Thailand,22,Wankhongohm MBK,Muay Thai,Male,Flyweight,5,4,0,0,0,0,5,0,1,0,0,2,0,9
Deepak Bhardwaj,-1,166.0,India,24,Bali MMA,MMA,Male,Out of range,0,1,0,0,0,0,0,0,1,0,0,0,0,1
Den Sitnayoktaweeptaphong,-1,163.0,Thailand,28,Sak Buriram,Muay Thai,Male,Out of range,0,1,0,0,0,0,0,0,0,0,0,0,1,1
Denis Andreev,65.6,175.0,Russia,30,Sakha Wrestling MMA,MMA,Male,Bantamweight,0,1,0,0,0,0,0,0,0,0,0,0,1,1
Denis Burmatov,-1,178.0,Russia,28,Sibir,Muay Thai,Male,Out of range,2,0,0,0,0,0,2,0,0,0,0,0,0,2
Denis “The Bosnian Menace” Puric,61.1,165.0,Bosnia and Herzegovina / Canada,40,Team CSK,Muay Thai,Male,Flyweight,3,4,1,0,0,0,2,0,1,0,0,2,0,8
Deniz “Bad Boy” Demirkapu,62.4,175.0,Morocco / Turkey,24,Petchsaman Gym / Team Elite Amsterdam,Muay Thai,Male,Bantamweight,1,2,0,0,0,0,0,0,0,0,0,0,0,3
Denkriangkrai Singha Mawynn,-1,168.0,Thailand,26,Singha Mawynn,Muay Thai,Male,Out of range,5,5,0,0,0,0,2,2,0,0,0,5,0,10
Denny Sisti,-1,169.0,United States,26,Southside MMA,Submission Grappling,Male,Out of range,1,0,0,0,1,0,0,0,0,0,0,0,0,1
Denpanom Pran26,-1,179.0,Thailand,28,Pran 26,Muay Thai,Male,Out of range,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Denpayak Detpetchsrithong,-1,176.0,Thailand,19,Detpetchsrithong,Muay Thai,Male,Out of range,0,4,0,0,0,0,0,0,0,0,0,2,0,4
Denphuthai Superlek Muay Thai,-1,169.0,Thailand,27,Superlek Muaythai,Muay Thai,Male,Out of range,1,2,0,0,0,0,1,0,1,0,0,0,0,3
Detchanan Wor Wiangsa,-1,170.0,Thailand,18,Wor Wiangsa,Muay Thai,Male,Out of range,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Detphupa ChotBangsaen,50.9,158.0,Thailand,21,Wor Suksan,Muay Thai,Male,Atomweight,2,1,0,0,0,0,0,1,0,0,0,0,0,3
Detpichai NaweeAndaman,-1,167.0,Thailand,26,NaweeAndaman,Muay Thai,Male,Out of range,0,1,0,0,0,0,0,0,0,0,0,0,0,1
