Name,Weight (kg),Height (cm),Country,Age,Team,Sport,Gender,Weight ClassWIN,LOSS,DRAW,W TKO,W Submission,W Disqualification,W Unanimous Decision,W Split Decision,L TKO,L Submission,L Disqualification,L Unanimous Decision,L Split Decision,Total Fights
“The Panda” Xiong Jing Nan,58.5,165.0,China,37,Evolve MMA,MMA,Male,Flyweight,11,1,0,4,0,0,6,0,0,1,0,0,0,12
Yuya “Little Piranha” Wakamatsu,61.0,168.0,Japan,30,Tribe Tokyo MMA,MMA,Male,Flyweight,9,4,0,2,0,0,5,0,1,2,0,1,0,13
“Tiger” A Xi Shi Ga,58.0,168.0,China,26,Chongqing Monster MMA Fight Club,MMA,Male,Flyweight,0,1,0,0,0,0,0,0,0,1,0,0,0,1
Aaron “Tommy Gun” Canarte,69.7,173.0,Ecuador,28,Entram,MMA,Male,Featherweight,0,3,0,0,0,0,0,0,1,1,0,1,0,3
Abdallah Ondash,56.7,173.0,Lebanon,23,Tiger Muay Thai,Muay Thai,Male,Flyweight,6,1,0,0,0,0,1,1,0,0,0,0,0,7
Abdelali “Black Diamond” Zahidi,71.1,186.0,Morocco,25,Tocayah Fight Club,Kickboxing,Male,Lightweight,1,1,0,0,0,0,0,0,0,0,0,0,0,2
Abdessamie Rhenimi,-1,176.0,Morocco,18,Petchsaman Gym,Muay Thai,Male,Out of range,0,1,0,0,0,0,0,0,0,0,0,0,1,1
Abdulgadzhi “Gorets” Gaziev,-1,173.0,Kyrgyzstan,32,Galaktic Sports / Phuket Fight Club,MMA,Male,Out of range,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Abdulla Dayakaev,61.23,179.0,Russia,23,Team Mehdi Zatout,Muay Thai,Male,Bantamweight,7,1,0,1,0,0,0,0,0,0,0,1,0,8
Abdullo Khodzhaev,-1,-1.0,Tajikistan,1,0,MMA,Male,Out of range,1,0,0,1,0,0,0,0,0,0,0,0,0,1
Abolfazl Alipourandi,-1,180.0,Iran,-1,Team Mehdi Zatout,Muay Thai,Male,Out of range,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Abraao “Bambao” Amorim,76.4,174.0,Brazil,38,Checkmat,MMA,Male,Lightweight,1,2,0,1,0,0,0,0,0,2,0,0,0,3
Eko “Electrical Knock Out” Priandono,61.2,172.0,Indonesia,31,Saint Electra MMA,MMA,Male,Flyweight,0,1,0,0,0,0,0,0,0,0,0,1,0,1
Adam Sor Dechapan,50.5,170.0,Malaysia / Thailand,17,Sor Dechapan,Muay Thai,Male,Atomweight,1,0,0,0,0,0,0,1,0,0,0,0,0,1
Adib “Deep” Sulaiman,56.7,163.0,Brunei,34,Wolfpack Training Ground,MMA,Male,Flyweight,2,1,0,2,0,0,0,0,1,0,0,0,0,3
Adilet “Tiger” Alimbek Uulu,-1,175.0,Kyrgyzstan,23,Jash Kuch,MMA,Male,Out of range,1,0,0,0,1,0,0,0,0,0,0,0,0,1
Adilet “Aden” Mamytov,60.7,178.0,Kyrgyzstan,21,Ihlas,MMA,Male,Flyweight,0,1,0,0,0,0,0,0,1,0,0,0,0,1
Adilet “Kok-Zhal” Nurmatov,-1,175.0,Kyrgyzstan,27,Ikhlas team,MMA,Male,Out of range,1,0,0,1,0,0,0,0,0,0,0,0,0,1
Adnan “The Butcher” Larry,120.0,189.0,New Zealand,33,Absolute MMA,MMA,Male,Heavyweight,0,1,0,0,0,0,0,0,1,0,0,0,0,1
Adonis Sevilleno,65.7,170.0,Philippines,32,Team Lakay,MMA,Male,Bantamweight,0,2,0,0,0,0,0,0,0,0,0,2,0,2
Adrian “The Phenom” Lee,77.11,180.0,Singapore / United States,19,Prodigy Training Center,MMA,Male,Welterweight,3,0,0,0,3,0,0,0,0,0,0,0,0,3
Adrian “Papua Badboy” Mattheis,56.7,163.0,Indonesia,32,Tigershark Fighting Academy,MMA,Male,Flyweight,9,7,0,4,4,0,1,0,1,4,0,1,0,16
Adrian “The Hunter” Pang,77.1,174.0,Australia,47,Integrated MMA,MMA,Male,Lightweight,2,5,0,1,1,0,0,0,1,0,0,2,2,7
Adriano “Mikinho” Moraes,60.8,172.0,Brazil,37,American Top Team / Constrictor Team,MMA,Male,Flyweight,11,6,0,0,7,0,3,0,1,0,0,1,3,17
Aekkalak Sor Samarngarment,56.0,170.0,Thailand,26,Sor Samarngarment,Muay Thai,Male,Strawweight,2,1,0,0,0,0,1,0,0,0,0,1,0,3
Ahavat “Golden Boy” Gordon,-1,172.0,Israel / United States,19,Silapa Thai Gym,Muay Thai,Male,Out of range,1,0,0,0,0,0,1,0,0,0,0,0,0,1
Ahejiang Ailinuer,65.8,176.0,China,26,Chengde Quansheng,MMA,Male,Featherweight,2,0,0,2,0,0,0,0,0,0,0,0,0,2
